strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fast_reduce_support,0,200452,True,complete,786.9392491479957,775.935715330008,6.501990813048906,98.60173020599734,0.826237961836125,0.5720318321665367,30,29,67,29,1908,38,1870,5,19,6,17,False,4,13,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,1,200453,True,complete,824.6582403320062,818.3314033329953,6.291979192974395,99.23279284804529,0.7629802123169537,0.00422693963775398,25,24,55,24,2002,31,1971,5,19,5,18,False,6,8,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,2,200454,True,complete,563.0934836609958,557.7341729049949,5.329648946993984,99.04823783057176,0.9464945167439799,0.005267652684255937,23,22,50,22,1712,28,1684,5,19,5,18,False,6,10,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,3,200455,True,complete,893.7771637789992,883.9590818789729,9.76667788195482,98.90150674039218,1.0927419358825539,0.0057513237252714774,35,34,69,34,2743,35,2708,5,19,5,17,False,6,14,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,4,200456,False,max_replans,1006.0038735900016,993.4939213859761,12.443115817077341,98.7564707718885,1.2368854776545872,0.006643750456905766,50,49,98,50,3924,48,3876,5,19,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,5,200457,True,complete,481.0145502570085,475.98960472102044,4.993666440932429,98.9553443792286,1.0381528871141814,0.006502733657212504,26,25,56,25,1556,31,1525,5,19,7,23,False,4,15,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,6,200458,True,complete,418.6871997700073,414.3555116369389,4.3059796289599035,98.96541185509186,1.028447879783585,0.006140265124561106,21,20,50,20,1272,30,1242,5,19,7,14,False,2,15,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,7,200459,True,complete,285.33213789800357,281.6076346929767,3.6972189049993176,98.69467798739228,1.2957597178628881,0.009562294744829891,23,22,44,22,841,22,819,5,19,6,20,False,4,16,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,8,200460,True,complete,1007.4678349770111,997.8637503789796,9.555824927054346,99.04671054850593,0.9484992567799839,0.004790194714080641,34,33,73,33,2502,40,2462,5,19,7,20,False,4,14,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
fast_reduce_support,9,200461,True,complete,526.4850615019968,521.9141951950005,4.544646736976574,99.13181462471961,0.8632052586660786,0.004980116614315109,19,18,44,18,1578,26,1552,5,19,6,16,False,6,11,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fast_reduce_support/benchmark.csv
baseline,0,200452,False,max_replans,797.5167522929987,785.9339460250194,7.075479223029106,98.5476410075805,0.8871887897885378,0.565170202630963,50,49,76,50,2406,26,2380,9,31,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/baseline/benchmark.csv
